"编号","中文标签名","标签层次","父标签","虚拟父标签","是否黑名单"
1155,"螺丝刀,改锥",2,247,-1,0
930,"铲子",2,247,-1,0
1287,"刮刀",2,247,-1,0
986,"扳手",2,247,-1,0
791,"斧头,斧子",2,247,-1,0
1042,"凿子",2,247,-1,0
390,"刀",2,247,-1,0
832,"剪子,剪刀",2,247,-1,0
1100,"开瓶器",2,247,-1,0
827,"家用电器,家电",1,-1,-1,0
1026,"烘干机",2,827,-1,0
435,"吸尘器",2,827,-1,0
1385,"耳机",2,827,-1,0
622,"麦克风,话筒",2,827,-1,0
634,"微波炉",2,827,-1,0
712,"烤箱",2,827,-1,0
795,"炉灶,锅灶",2,827,-1,0
1151,"烤面包机",2,827,-1,0
897,"冰箱",2,827,-1,0
1088,"洗衣机",2,827,-1,0
998,"搅拌器,榨汁机",2,827,-1,0
1437,"咖啡机",2,827,-1,0
436,"音响",2,827,-1,0
1290,"餐具",1,-1,-1,0
1346,"榨汁器,果汁机",2,1290,-1,0
1278,"打蛋器",2,1290,-1,0
1367,"擦菜板",2,1290,-1,0
1389,"擀面杖",2,1290,-1,0
1173,"餐具",2,1290,-1,0
198,"盘子",3,1173,-1,0
683,"勺子",3,1173,-1,0
1111,"吊床",1,-1,-1,0
1315,"台球桌",1,-1,-1,0
828,"数码产品",1,-1,-1,0
1271,"棉签",1,-1,-1,0
633,"淋浴,花洒",1,-1,-1,0
1433,"床上用品,床单被褥",1,-1,-1,0
39,"瓷器,陶瓷",1,-1,-1,0
1270,"拖把,墩布",1,-1,-1,0
769,"扫帚,笤帚",1,-1,-1,0
1355,"抽水马桶,马桶",1,-1,-1,0
1301,"奶嘴",1,-1,-1,0
1421,"夹子,晒衣夹,晾衣夹",1,-1,-1,0
1231,"拐杖",1,-1,-1,0
731,"油门",1,-1,-1,0
482,"雨伞,太阳伞,伞",1,-1,-1,0
1428,"簸箕",1,-1,-1,0
1053,"滑轮",1,-1,-1,0
276,"齿轮",1,-1,-1,0
574,"活塞",1,-1,-1,0
1130,"喷水器",1,-1,-1,1
753,"计算器",1,-1,-1,0
1131,"算盘",1,-1,-1,0
76,"计算机,电脑",1,-1,-1,0
618,"风车,风力发电机",1,-1,-1,0
1205,"温度调节器",1,-1,-1,1
864,"遥控器",1,-1,-1,0
952,"机器人",1,-1,-1,0
108,"机器",1,-1,-1,0
1354,"自动取款机,ATM机",2,108,-1,0
512,"打印机",2,108,-1,0
876,"打字机",2,108,-1,0
449,"发电机",2,108,-1,0
1412,"硬盘,磁盘",1,-1,-1,0
1135,"磁带,录像带",1,-1,-1,0
962,"操纵杆",1,-1,-1,1
1303,"软盘",1,-1,-1,0
886,"方向盘,舵轮",1,-1,-1,0
1282,"水龙头",1,-1,-1,0
132,"指示牌",1,-1,-1,0
1266,"路标",2,132,-1,0
43,"山,山峰",1,-1,200005,0
450,"火山",2,43,-1,0
1344,"火山口",3,450,-1,0
27,"石头",1,-1,200005,0
220,"岩洞,隧洞",2,27,200005,0
28,"岩石",2,27,-1,0
428,"礁石",2,27,-1,0
424,"绳索,绳子",1,-1,-1,0
1142,"蹦极索,弹性绳索",1,-1,-1,0
293,"线缆,电线",1,-1,-1,0
475,"露营",1,-1,-1,0
536,"帐篷",2,475,-1,0
514,"野餐",2,475,-1,0
216,"雕刻,雕像",1,-1,-1,0
232,"田野,平原",1,-1,200005,0
770,"草原,草地",2,232,200005,0
406,"草",2,232,-1,1
98,"纸张",1,-1,-1,0
217,"文档,文稿,文件",2,98,-1,0
135,"墓地",1,-1,-1,1
932,"墓碑",2,135,-1,1
1208,"陵墓",2,135,-1,1
1381,"唱片",1,-1,-1,0
911,"留声机,打碟机,唱机转盘",2,1381,-1,0
209,"杆子,竿子",1,-1,-1,0
1056,"桨,船桨",1,-1,-1,0
907,"药水,口服液",1,-1,-1,0
213,"婚礼,结婚,婚宴",1,-1,-1,0
498,"菜单,食谱",1,-1,-1,0
1147,"尿布",1,-1,-1,0
1435,"刹车鼓",1,-1,-1,1
1085,"黑板",1,-1,-1,0
206,"泥土",1,-1,-1,0
230,"沙子,砂子",1,-1,-1,0
456,"娃娃,玩偶",1,-1,-1,0
50,"山谷,峡谷",1,-1,200005,0
12,"街道",1,-1,-1,0
830,"公交站,汽车站",1,-1,200004,0
301,"飞机场,机场",1,-1,-1,0
1327,"沙袋,沙包",1,-1,-1,0
1321,"涂鸦",1,-1,-1,0
1491,"复活节彩蛋,彩蛋",1,-1,-1,0
612,"旗帜",1,-1,-1,0
345,"条幅,横幅",1,-1,-1,0
360,"素描,草图",1,-1,-1,0
281,"水库,蓄水池",1,-1,-1,0
854,"坑,地道",1,-1,-1,1
300,"悬崖,峭壁",1,-1,-1,0
455,"气球",1,-1,-1,0
676,"木炭,炭",1,-1,-1,0
1476,"农庄,农场",1,-1,-1,0
207,"柱子",1,-1,-1,0
344,"彩虹",1,-1,-1,0
348,"钩",1,-1,-1,0
364,"笼子",1,-1,-1,0
1256,"蜘蛛网",1,-1,-1,0
343,"弹药",1,-1,-1,0
499,"气泡",1,-1,-1,0
339,"管道,水管",1,-1,-1,0
423,"吉祥物",1,-1,-1,0
118,"地面",1,-1,-1,1
161,"链条,",1,-1,-1,0
448,"沼泽",1,-1,-1,0
113,"花园,院子,公园",1,-1,-1,0
267,"云,云彩",1,-1,-1,0
176,"雪,雪景,下雪,冰雪",1,-1,200005,0
1095,"斗牛",1,-1,-1,0
602,"纹身",1,-1,-1,0
286,"木架",1,-1,-1,0
154,"天空",1,-1,200005,0
2,"城市,都市",1,-1,-1,0
1313,"舷窗",1,-1,-1,1
100,"地图",1,-1,-1,0
100000,"银行卡,信用卡",1,-1,-1,0
100003,"显示器",1,-1,-1,0
100004,"幻灯片,ppt",1,-1,-1,0
100005,"白板",1,-1,-1,0
100007,"发票,收据",1,-1,-1,0
100008,"营业执照",1,-1,-1,0
100010,"奖状,荣誉证书",1,-1,-1,0
100014,"红包,红包截图",1,-1,-1,0
100015,"购物小票",1,-1,-1,0
100016,"夜空,星空",1,-1,200005,0
100017,"聚会,聚餐",1,-1,-1,0
100018,"表情包",1,-1,-1,0
100021,"电影票",1,-1,-1,0
100022,"景点门票",1,-1,-1,0
1496,"二次元,动漫",1,-1,-1,0
1494,"火车站",1,-1,200004,0
1499,"名片",1,-1,-1,0
100006,"证件",1,-1,-1,0
100001,"身份证",2,100006,-1,0
100009,"医保卡,社保卡",2,100006,-1,0
100002,"结婚证",2,100006,-1,0
100019,"毕业证",2,100006,-1,0
100020,"护照",2,100006,-1,0
200003,"女,女生",1,-1,-2,0
200001,"美食",1,-1,-2,0
200002,"宝宝",1,-1,-2,0
200004,"车站",1,-1,-2,0
200005,"风景",1,-1,-2,0
